,,,,,,,FWR D tutti in parallelo,,100 RPM
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,C = 630 uF,,,,,,,
,,Ohm,mW,mW,,,,,
,,R,Po,Pi,,,,,
,1,1,"118,662",,,,,,
,2,2,"136,666",,,,,,
,3,3,"143,203",,,,,,
,4,4,"144,783",,,,,,
,5,5,"143,654",,,,,,
,6,6,"139,451",,,,,,
,7,7,"138,877",,,,,,
,8,8,"134,917",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,From Simulations,,,,,,,,
,RL,6,Ohm,,,,,,
100rpm,CL,360,uF,,,,,,
